"GEO_ID","P002001","P002002","P002003","P002004","P002005","P002006","NAME"
"id","Total","Total!!Urban","Total!!Urban!!Inside urbanized areas","Total!!Urban!!Inside urban clusters","Total!!Rural","Total!!Not defined for this file","Geographic Area Name"
"8600000US01745","397","397","397","0","0","0","ZCTA5 01745"
"8600000US01746","13547","13016","13016","0","531","0","ZCTA5 01746"
"8600000US01747","5911","5871","5871","0","40","0","ZCTA5 01747"
"8600000US01748","14925","11693","11693","0","3232","0","ZCTA5 01748"
"8600000US01749","19063","18690","18690","0","373","0","ZCTA5 01749"
"8600000US01752","38499","38380","38380","0","119","0","ZCTA5 01752"
"8600000US01754","10106","10048","10048","0","58","0","ZCTA5 01754"
"8600000US01756","5839","2629","2629","0","3210","0","ZCTA5 01756"
"8600000US01757","28061","27799","27799","0","262","0","ZCTA5 01757"
"8600000US01760","32786","32384","32384","0","402","0","ZCTA5 01760"
"8600000US01770","4119","1272","1272","0","2847","0","ZCTA5 01770"
"8600000US01772","9370","9313","9313","0","57","0","ZCTA5 01772"
"8600000US01773","5112","2749","2749","0","2363","0","ZCTA5 01773"
"8600000US01775","6590","4096","4096","0","2494","0","ZCTA5 01775"
"8600000US01776","17659","16703","16703","0","956","0","ZCTA5 01776"
"8600000US01778","13109","12743","12743","0","366","0","ZCTA5 01778"
"8600000US01801","38903","38903","38903","0","0","0","ZCTA5 01801"
"8600000US01803","24487","24487","24487","0","0","0","ZCTA5 01803"
"8600000US01810","33201","33201","33201","0","0","0","ZCTA5 01810"
"8600000US01821","30310","30310","30310","0","0","0","ZCTA5 01821"
"8600000US01824","24911","24911","24911","0","0","0","ZCTA5 01824"
"8600000US01826","29422","28230","28230","0","1192","0","ZCTA5 01826"
"8600000US01827","3179","486","486","0","2693","0","ZCTA5 01827"
"8600000US01830","25137","24681","24681","0","456","0","ZCTA5 01830"
"8600000US01832","22060","22060","22060","0","0","0","ZCTA5 01832"
"8600000US01833","8183","7397","7397","0","786","0","ZCTA5 01833"
"8600000US01834","6459","5647","5647","0","812","0","ZCTA5 01834"
"8600000US01835","13682","13510","13510","0","172","0","ZCTA5 01835"
"8600000US01840","4733","4733","4733","0","0","0","ZCTA5 01840"
"8600000US01841","47225","47225","47225","0","0","0","ZCTA5 01841"
"8600000US01843","24425","24425","24425","0","0","0","ZCTA5 01843"
"8600000US01844","47249","47247","47247","0","2","0","ZCTA5 01844"
"8600000US01845","28352","27116","27116","0","1236","0","ZCTA5 01845"
"8600000US01850","15237","15237","15237","0","0","0","ZCTA5 01850"
"8600000US01851","30190","30190","30190","0","0","0","ZCTA5 01851"
"8600000US01852","33508","33508","33508","0","0","0","ZCTA5 01852"
